1000
-227,1018
-4217,-3134
3212,7814
2007,-1603
5810,-5675
3358,-1738
2837,7198
-1806,6545
-4100,40
-6600,-3897
-7970,-6977
8523,7760
1606,-415
-9754,1330
4621,-8461
2263,2218
-7703,3473
8436,-9261
4218,7474
5581,9268
9915,38
6305,956
8216,-5582
2033,2979
-2280,3748
-8320,-2849
7379,-7062
2396,-8776
7445,-9363
-4610,5313
7939,6492
2036,9609
-5677,-6527
-6696,1925
8169,-9770
9028,6595
-5554,-5789
2573,-141
6381,-7250
-8790,1124
3901,-3678
2805,-5681
2314,-4102
-4598,-911
4131,4581
-2132,-2339
-1158,2680
-3039,-38
2987,4876
-986,-3074
-4025,8368
2907,9932
5918,1631
-4957,-7099
-5900,-5113
-3203,2853
-3249,-4581
195,4545
8417,-6461
-1432,-4650
-7488,8328
-4508,7603
1509,6169
-2457,7406
1750,9687
4211,1246
6027,-169
1803,4753
806,-304
7207,1550
-5584,-4959
-7864,4397
7491,-6429
8780,5652
-2352,-7309
-6247,9619
-3387,-6251
8804,-4586
-81,9711
3991,5752
6826,2769
1797,-5591
1247,-1456
-810,-6909
-6773,-5633
8653,-2920
4944,-9480
8955,-1756
5182,5398
-8258,-6130
-8096,8208
-8991,-9735
-6189,-3865
9063,1183
8653,-3180
4831,-7114
-1395,-8449
8167,9978
1139,9749
7291,9188
7612,1128
5557,-8159
-8820,8316
-1518,29
-9350,-187
2252,6352
-2440,803
-9052,2561
-9991,-2347
-8770,-1411
8694,-9143
518,166
-1919,-9270
-2548,577
-1160,-9663
1945,137
-3618,-9058
-3832,-4471
4793,-3319
-2446,432
-4586,-2773
208,8696
5026,-123
-7899,-8170
-184,-4199
-8037,-6336
8224,9113
-7949,6816
8276,1984
752,7908
3170,-5821
-7532,-8476
2627,1208
-8704,-3545
6931,1714
-266,2069
5606,-8239
-6026,7465
-6704,-8644
3286,-8414
-8280,-3132
-7401,8565
8431,1889
-5414,-681
667,-1324
-9620,-2227
5686,2460
-3481,-1922
7776,-8282
-198,7816
-3479,8940
-8576,1389
-9096,-1555
7118,7701
-500,-9484
967,-3319
-1737,-5611
7147,-9656
-5694,-3420
-3951,-4185
6612,-4441
9093,89
-7274,-992
-41,-689
4278,5616
-912,-1039
3567,9893
-7023,-4430
-1548,5433
-9850,-4545
-6548,-180
-8380,1449
-8781,-7395
-4729,4717
-9556,6754
748,-4508
-6225,3488
4338,-6085
2468,-9372
1719,165
-6723,-4649
-9418,-8336
7457,-6302
4810,-5591
-8210,-8793
-2741,5297
-2798,-8251
-905,2850
1769,-5086
283,-5168
1847,6239
-2012,-7020
7551,9123
7485,-2536
6974,-7563
3659,-3346
7285,-6361
225,1393
254,3653
-1480,-2779
-5224,6782
8057,-7162
9589,-3365
-3021,8616
5676,-2664
-7869,5043
-281,8200
-4317,-2250
-2506,-362
-1934,3127
-754,-1813
5434,6513
-2140,9414
3966,3578
-4991,-1188
-7008,-5271
515,2917
-5692,-7747
-4212,-4510
5960,-9606
-6538,6962
-4617,9675
-7723,9224
-1028,-1494
8740,-7574
-6984,-2510
5272,-4391
4358,4837
8281,8791
-1757,4881
-951,565
-4482,-4036
5284,2318
-8326,-1204
1865,-2159
-3808,1890
5583,5419
2220,6795
540,-1601
-6172,-7424
-1562,9809
908,6356
1080,6735
262,4730
-8776,1020
-4524,-534
-7710,4221
7909,156
7455,-3152
-3548,-3677
-5676,4560
-5346,2015
-7396,-2681
