100000
268099,594928
-585750,252349
-220554,-541401
95088,-745989
997436,465902
-747130,149270
569984,-833046
-238956,-35117
527614,-24537
884225,573868
795335,-332974
-388383,-356674
-490142,163941
556084,-973232
944497,-244970
-832544,-390202
-372760,-864687
-176866,135576
583214,949167
735980,116576
-459042,881973
-441038,-418280
-587379,769048
-932049,-886957
391418,-322993
-631454,393643
605351,-538475
-300282,318720
424445,916785
-903426,614124
239418,-694252
926433,-138151
812921,-203317
-373099,-150426
-849805,130254
851576,-758663
-755825,-297251
668452,709089
20795,-825089
-541929,869884
343435,702119
-277108,-358905
-968834,-69484
146333,956090
503643,-984992
929370,175382
-113789,-911127
-315461,983372
-808035,851073
981649,78347
543259,-763848
16445,-456506
-696709,492975
-187060,429267
-540822,-577650
-127937,782519
-368953,-990060
243745,-874612
677461,239662
626500,217006
-974372,484143
-711974,-176323
-424411,542577
-647714,-821745
310770,-867283
313012,-172984
-407018,-557495
510487,-357583
528162,-791790
-252042,922683
759855,-290239
225937,-295716
580622,60288
537164,-319101
-652708,-784297
-408124,452563
-155856,-758485
-967430,221284
458845,-452154
-50675,-495544
-180867,-959992
521242,955017
-116022,-569236
-413490,957350
-608872,321784
-916952,-689491
33656,-914413
-196369,15438
771344,65615
-26137,950422
-721589,160913
788312,-950919
-312666,-526804
-770418,487824
509178,367940
247024,344712
-105919,37445
-313714,-790695
-758776,452638
237805,-696887
575839,-548251
-888156,-187137
81483,-362234
149587,343869
-290959,-257041
644291,668375
879603,167550
273439,273807
956565,510954
232269,608462
383022,87840
911047,377235
163698,657589
272866,-242441
-283610,-105451
465733,985806
26088,487829
-857852,407011
505635,-816814
461331,785793
11,565893
813710,444000
967004,-67688
-65764,-379382
-974742,209212
-739456,342115
-218626,-446293
143927,46424
-869046,-996982
835552,-778616
74165,-657916
-952708,-601488
494631,-781620
326006,-14429
321139,457142
-517946,626461
-975148,-483515
877272,44565
-499562,70788
-495382,655728
37715,821994
481108,629654
311125,812329
-172348,-466442
97534,-251723
223847,209514
778587,-855552
-197297,117000
-407976,-542662
-10211,14717
-932921,802783
-106818,560861
-887709,337246
-184902,178571
819740,-68085
-916992,363388
-792051,-620115
-412479,-497894
846381,-949420
166237,-772494
-412338,-358169
287259,351016
-520629,-521081
362987,495426
335443,-328828
464271,692380
417921,360568
-793036,-585581
213010,-716914
147354,-221049
-618913,912423
149916,991586
-381489,566981
880289,488856
-610200,-965130
828305,695430
271934,-491979
-919617,-171508
998236,-84702
-562462,-237959
197519,105841
414704,-393548
294842,757720
-840957,-636294
-926526,-626737
-610668,-213723
-6677,271298
-914482,397758
-480684,97839
846933,-474145
-566086,50596
589664,153485
391143,749015
567978,-588717
-184764,-519635
581708,-385110
655162,413743
670901,892991
-522939,297677
-398965,-342863
909762,-856658
6527,-568041
554290,-555772
-812766,894485
126475,594436
242075,363818
822458,-658398
-524115,437523
-319890,346761
830045,988670
-944918,-777670
464382,-682486
-761611,-219330
557310,894421
713164,-350452
893111,835677
-418609,-102855
-130284,-978549
-712846,858059
-812693,595198
-78879,-36880
667509,476429
-888300,49624
-595117,-526203
-208492,364941
766904,603080
-26523,-724710
-364446,-705340
79155,-447237
723094,317736
332432,37564
796572,-546455
265149,-541298
-789967,-782545
476737,-754753
270380,-740119
-551763,271560
-347713,-531456
-568231,-346252
